user_id,item_id,recommend,posted year,sentiment_analysis
js41637,227300,True,2013,2.0
evcentric,370360,True,2015,2.0
doctr,250320,True,2013,2.0
maplemage,211820,True,2013,2.0
Wackky,207610,True,2012,2.0
76561198089393905,72850,True,2015,1.0
76561198089393905,440,True,2014,1.0
death-hunter,232090,True,2015,2.0
MarbleShrine,220200,True,2015,2.0
devvonst,218740,True,2014,2.0
starkillershadow553,238090,True,2015,2.0
76561198058373434,8870,True,2015,2.0
76561198066046412,359320,False,2015,2.0
76561198070565427,242700,True,2014,1.0
76561198070565427,224260,True,2014,1.0
SavageEeEe,221100,True,2015,2.0
GoAwayZach,304930,True,2014,2.0
76561198054540475,265210,True,2014,2.0
76561198054540475,48700,True,2014,2.0
boydeer,440,True,2014,1.0
boydeer,383080,False,2015,1.0
76561198083226897,105600,True,2015,1.0
76561198075277292,570,True,2015,2.0
76561198028895010,231180,True,2013,2.0
76561198028895010,620,True,2012,2.0
diego9031,223710,True,2015,2.0
diego9031,322330,True,2015,2.0
diego9031,440,True,2013,2.0
diego9031,224260,True,2013,2.0
jarrodtrim,440,True,2012,2.0
76561198087586464,440,True,2013,2.0
76561198070194565,233250,True,2014,1.0
76561198070194565,248570,True,2015,1.0
UTNerd24,440,True,2015,0.0
UTNerd24,257750,True,2015,0.0
UTNerd24,2280,True,2013,0.0
sandwiches1,417860,False,2015,1.0
76561198138053270,218620,True,2014,2.0
lucaswerg,218620,True,2014,1.0
kube134,251990,True,2014,2.0
iamthekingofbrowntown,344760,False,2015,2.0
iamthekingofbrowntown,399730,True,2015,2.0
yookobz,219150,True,2013,2.0
Posiblydead,239820,True,2014,2.0
Mossy_Gaming,440,True,2015,2.0
76561198102421718,274940,True,2015,0.0
76561198102421718,333930,True,2015,0.0
76561198056741844,730,True,2014,1.0
sad-commie,212070,True,2014,1.0
76561198030567998,55230,True,2015,2.0
Berserklejerker,391540,True,2015,2.0
76561198061730629,550,True,2014,0.0
YoHuNz,440,True,2014,1.0
possessioniskey,113400,True,2014,2.0
Nozomikat,264200,True,2014,2.0
Nozomikat,417860,True,2015,2.0
Nozomikat,213670,True,2014,2.0
xfluttersx,105600,True,2012,2.0
xfluttersx,440,True,2014,2.0
xfluttersx,410,True,2012,2.0
76561198097762318,440,True,2015,1.0
StelerForYou,730,True,2015,2.0
76561198183396245,440,True,2015,2.0
Xx-Woods,224260,True,2015,2.0
Xx-Woods,250180,True,2014,2.0
Xx-Woods,17520,True,2014,2.0
kevinator23,320760,True,2015,2.0
kevinator23,218620,True,2015,2.0
kevinator23,219740,True,2015,2.0
kevinator23,220240,True,2014,2.0
kevinator23,440,True,2012,2.0
CatsWhale,333950,True,2015,2.0
CatsWhale,388520,True,2015,2.0
CatsWhale,206210,True,2014,2.0
mimimomoma,730,True,2015,2.0
L1J1N,570,True,2014,2.0
AVATAR715,440,True,2015,2.0
AVATAR715,248570,True,2014,2.0
AVATAR715,264140,True,2014,2.0
AVATAR715,266430,True,2015,2.0
AVATAR715,316010,True,2015,2.0
A-Very-Sly-Person,304930,True,2015,2.0
76561197994493402,264200,True,2015,2.0
97396295,301520,True,2014,0.0
97396295,243870,True,2014,0.0
97396295,218230,False,2014,0.0
76561198126640317,222880,True,2015,2.0
76561198126640317,730,True,2015,2.0
DemonicWolvz,550,True,2013,2.0
DieMadchenschanderin,227680,False,2013,2.0
76561198141443390,730,True,2015,2.0
whodafuqisthisguilao,730,True,2015,2.0
Magjiikal,370480,True,2015,2.0
ohnospaghet,264200,True,2015,2.0
2768820078,333950,True,2015,1.0
2768820078,298110,True,2015,1.0
2768820078,222440,True,2015,1.0
2d4nk4m3,47410,True,2014,2.0
TeCool,274980,True,2014,0.0
TeCool,202090,True,2014,0.0
TeCool,339280,True,2015,0.0
TeCool,314130,False,2015,0.0
2xDelorean,570,True,2015,2.0
2xDelorean,440,True,2011,2.0
washington_,417860,True,2015,0.0
76561198088944293,304930,True,2014,1.0
76561198092540221,400,True,2015,2.0
76561198092540221,620,True,2015,2.0
76561198051258119,730,True,2015,2.0
nubquake123,265610,True,2014,2.0
Pyromanic,240,True,2013,2.0
relesprit,8930,True,2013,2.0
WitchHunter4542,304930,True,2014,2.0
WitchHunter4542,224260,True,2014,2.0
pwrt,230410,True,2015,2.0
pwrt,440,True,2014,2.0
76561198043458582,107410,True,2015,2.0
76561198043458582,231430,True,2014,2.0
smashiroshh,218620,True,2014,2.0
1337lolroflmao,271590,True,2015,0.0
1337lolroflmao,218620,True,2014,0.0
1337lolroflmao,10180,True,2013,0.0
1337lolroflmao,261030,True,2015,0.0
OzfurAtlas,212680,True,2013,0.0
76561198065593074,304050,True,2015,2.0
76561198065593074,203750,True,2014,2.0
76561198087010391,4000,True,2015,2.0
76561198028286104,10180,True,2013,2.0
tarjla,265750,True,2015,2.0
tarjla,252490,True,2014,2.0
tarjla,4000,True,2013,2.0
76561198104393251,304930,True,2015,2.0
redsncrimson,274920,True,2014,2.0
redsncrimson,49520,True,2013,2.0
redsncrimson,223510,True,2013,2.0
H1DD3NT3RR0R,240,True,2014,0.0
H1DD3NT3RR0R,105600,True,2014,0.0
H1DD3NT3RR0R,730,True,2014,0.0
76561198115115631,570,True,2015,2.0
76561198071175142,570,True,2015,2.0
76561198071175142,271590,True,2015,2.0
t8s,360870,True,2015,2.0
Michaelele,6060,True,2014,2.0
Michaelele,304930,True,2014,2.0
76561198048417105,271590,True,2015,2.0
76561198145436942,221100,True,2014,2.0
jjas01,218620,False,2015,2.0
jjas01,225260,True,2014,2.0
iamthetrashlord,206420,True,2015,2.0
3dster,550,True,2015,2.0
76561198079990063,231040,True,2014,2.0
Forty-Nine,221100,True,2014,0.0
76561198084542731,47790,True,2014,2.0
76561198103671881,570,True,2015,2.0
GamerFag,70,True,2011,2.0
GamerFag,420,True,2011,2.0
GamerFag,380,True,2011,2.0
GamerFag,1250,True,2010,2.0
EHS-R3AP3R,349700,True,2015,2.0
tbimperator,35450,True,2012,2.0
Allahu_Akbar666,230410,True,2015,0.0
Allahu_Akbar666,304930,False,2014,0.0
ulramite,290020,True,2014,0.0
-GM-Dragon,244850,True,2015,2.0
76561198078799606,730,True,2015,1.0
76561198054465623,302830,False,2015,2.0
76561198054465623,39800,True,2015,2.0
76561198054465623,105600,True,2015,2.0
aaropro,440,True,2014,2.0
FrankoWalker,260410,True,2014,0.0
FrankoWalker,236390,True,2014,0.0
SALTTHEW0UND,204030,True,2014,2.0
SALTTHEW0UND,383080,True,2015,2.0
express157,304930,True,2014,2.0
TomoeMamiewe,10150,True,2014,1.0
Acidius99,220240,True,2014,0.0
AddzyTheBaddzy,291550,True,2015,2.0
mrfunkyjunkie,233250,True,2014,2.0
cancerkek,730,True,2015,1.0
advenger95,22370,True,2015,0.0
advenger95,307690,True,2015,0.0
advenger95,72850,True,2015,0.0
Agiegamma,208090,True,2014,2.0
76561198082614708,250340,True,2014,2.0
Agronoth,244850,True,2014,2.0
Agronoth,105600,True,2015,2.0
Agronoth,9450,False,2015,2.0
UnholyFallenAngel,262410,True,2014,2.0
UnholyFallenAngel,222940,True,2015,2.0
76561198068565589,286570,True,2015,1.0
WestyGaming,223710,True,2014,1.0
NaruseAiria,108600,True,2014,2.0
NaruseAiria,259080,True,2013,2.0
76561198067713802,304930,True,2015,2.0
Alex680,4000,True,2014,2.0
Albolah,294650,True,2015,2.0
maxpaynepillkiller,55230,True,2015,2.0
AlexNoClutch,227860,False,2015,2.0
76561198095481910,208090,True,2014,0.0
AlkalineDeath,228280,True,2015,2.0
AlpacaRevolution,346110,False,2015,1.0
76561198009001563,570,True,2014,1.0
lol_ursuchanoob,218620,True,2014,2.0
lol_ursuchanoob,220240,True,2014,2.0
AMV72,218060,True,2013,1.0
76561198132540690,730,True,2015,2.0
711armageddoncarmageddon,113020,True,2015,2.0
711armageddoncarmageddon,105600,True,2015,2.0
711armageddoncarmageddon,9480,True,2015,2.0
76561198069560699,550,True,2013,2.0
76561198069560699,8870,True,2014,2.0
76561198099625419,230410,True,2014,1.0
76561198099625419,200260,True,2014,1.0
76561198099625419,19900,True,2013,1.0
AngryAinsley,317360,True,2015,2.0
AngryAinsley,295110,True,2015,2.0
Apachehavoc,107410,False,2014,1.0
ApexNZ,202170,True,2014,2.0
ApexNZ,313120,True,2015,2.0
76561198039441595,319510,False,2015,0.0
76561198039441595,20,False,2014,0.0
76561198039441595,209080,False,2014,0.0
76561198039441595,269250,True,2015,0.0
76561198039441595,313740,False,2014,0.0
XABLAUziitu,214420,False,2015,1.0
XABLAUziitu,440,True,2013,1.0
XABLAUziitu,200210,True,2013,1.0
76561198040530605,218230,True,2014,2.0
76561198040530605,104900,True,2014,2.0
76561197974500703,43000,True,2012,0.0
